project_id,field,current_value,proposed_value,source_url,source_date,confidence,requires_filing_read
231,land_sq_ft,(column does not exist),135716,https://www.bostonplans.org/projects/development-projects/155-north-beacon-street,2026-08-31,confirmed,no
237,land_sq_ft,(column does not exist),99660,https://www.bostonplans.org/projects/development-projects/18-22-arboretum-road,2026-08-31,confirmed,no
238,land_sq_ft,(column does not exist),119034,https://www.bostonplans.org/projects/development-projects/residences-at-readville-station,2026-08-31,confirmed,no
239,land_sq_ft,(column does not exist),88525,https://www.bostonplans.org/projects/development-projects/3390-washington-street,2026-08-31,confirmed,no
240,land_sq_ft,(column does not exist),47251,https://www.bostonplans.org/projects/development-projects/645-beacon-street,2026-08-31,confirmed,no
241,land_sq_ft,(column does not exist),23744,https://www.bostonplans.org/projects/development-projects/11-21-bromfield-street,2026-08-31,confirmed,no
243,land_sq_ft,(column does not exist),136917,https://www.bostonplans.org/projects/development-projects/1234-1240-soldiers-field-road,2026-08-31,confirmed,no
246,land_sq_ft,(column does not exist),273446,https://www.bostonplans.org/projects/development-projects/1170-soldiers-field-road,2026-08-31,confirmed,no
247,land_sq_ft,(column does not exist),229982,https://www.bostonplans.org/projects/development-projects/176-lincoln-street,2026-08-31,confirmed,no
252,land_sq_ft,(column does not exist),185501,https://www.bostonplans.org/projects/development-projects/parcel-x-310-northern-avenue,2026-08-31,confirmed,no
258,land_sq_ft,(column does not exist),52787,https://www.bostonplans.org/projects/development-projects/parcel-13,2026-08-31,confirmed,no
261,land_sq_ft,(column does not exist),53426,https://www.bostonplans.org/projects/development-projects/41-berkeley-street,2026-08-31,confirmed,no
266,land_sq_ft,(column does not exist),109771,https://www.bostonplans.org/projects/development-projects/seaport-circle-project,2026-08-31,confirmed,no
276,land_sq_ft,(column does not exist),50000,https://www.bostonplans.org/projects/development-projects/seaport-square-block-g,2026-08-31,confirmed,no
287,land_sq_ft,(column does not exist),235426,https://www.bostonplans.org/projects/development-projects/323-365-dorchester-avenue,2026-08-31,confirmed,no
292,land_sq_ft,(column does not exist),43671,https://www.bostonplans.org/projects/development-projects/fenway-corners-north,2026-08-31,confirmed,no
295,land_sq_ft,(column does not exist),209949,https://www.bostonplans.org/projects/development-projects/government-center-garage-phase-3,2026-08-31,confirmed,no
303,land_sq_ft,(column does not exist),70226,https://www.bostonplans.org/projects/development-projects/819-beacon-street,2026-08-31,confirmed,no
304,land_sq_ft,(column does not exist),169158,https://www.bostonplans.org/projects/development-projects/jan-karski-way-extension,2026-08-31,confirmed,no
314,land_sq_ft,(column does not exist),139802,https://www.bostonplans.org/projects/development-projects/bremen-orleans-development,2026-08-31,confirmed,no
315,land_sq_ft,(column does not exist),66660,https://www.bostonplans.org/projects/development-projects/220-huntington-avenue,2026-08-31,confirmed,no
326,land_sq_ft,(column does not exist),69835,https://www.bostonplans.org/projects/development-projects/135-dudley-street,2026-08-31,confirmed,no
328,land_sq_ft,(column does not exist),51035,https://www.bostonplans.org/projects/development-projects/dock-square-garage,2026-08-31,confirmed,no
331,land_sq_ft,(column does not exist),865620,https://www.bostonplans.org/projects/development-projects/suffolk-downs-phase-3,2026-08-31,confirmed,no
332,land_sq_ft,(column does not exist),1073107,https://www.bostonplans.org/projects/development-projects/suffolk-downs-phase-4,2026-08-31,confirmed,no
333,land_sq_ft,(column does not exist),736164,https://www.bostonplans.org/projects/development-projects/suffolk-downs-phase-5,2026-08-31,confirmed,no
334,land_sq_ft,(column does not exist),949529,https://www.bostonplans.org/projects/development-projects/suffolk-downs-phase-1,2026-08-31,confirmed,no
335,land_sq_ft,(column does not exist),1129800,https://www.bostonplans.org/projects/development-projects/suffolk-downs-phase-2,2026-08-31,confirmed,no
339,land_sq_ft,(column does not exist),79391,https://www.bostonplans.org/projects/development-projects/allston-green,2026-08-31,confirmed,no
343,land_sq_ft,(column does not exist),57300,https://www.bostonplans.org/projects/development-projects/harbor-garage-redevelopment,2026-08-31,confirmed,no
345,land_sq_ft,(column does not exist),54900,https://www.bostonplans.org/projects/development-projects/allston-yards-building-d,2026-08-31,confirmed,no
346,land_sq_ft,(column does not exist),52700,https://www.bostonplans.org/projects/development-projects/allston-yards-building-c,2026-08-31,confirmed,no
353,land_sq_ft,(column does not exist),52323,https://www.bostonplans.org/projects/development-projects/motor-mart-garage,2026-08-31,confirmed,no
357,land_sq_ft,(column does not exist),243936,https://www.bostonplans.org/projects/development-projects/exchange-south-end,2026-08-31,confirmed,no
358,land_sq_ft,(column does not exist),75000,https://www.bostonplans.org/projects/development-projects/10-stack-street,2026-08-31,confirmed,no
362,land_sq_ft,(column does not exist),34000,https://www.bostonplans.org/projects/development-projects/rio-grande,2026-08-31,confirmed,no
363,land_sq_ft,(column does not exist),40955,https://www.bostonplans.org/projects/development-projects/1000-boylston-street,2026-08-31,confirmed,no
369,land_sq_ft,(column does not exist),39893,https://www.bostonplans.org/projects/development-projects/seaport-square-block-d,2026-08-31,confirmed,no
372,land_sq_ft,(column does not exist),315810,https://www.bostonplans.org/projects/development-projects/tremont-crossing-(p-3),2026-08-31,confirmed,no
375,land_sq_ft,(column does not exist),30893,https://www.bostonplans.org/projects/development-projects/22-boston-wharf-road,2026-08-31,confirmed,no
SCHEMA,land_sq_ft,(none),"add nullable INTEGER; assign the already-parsed detail['land_sqft'] in bpda_scraper.py, which is currently dropped",scraper/bpda_scraper.py:261,2026-08-31,confirmed,no
SCHEMA,far,(none),"add computed column total_gsf / land_sq_ft; label as GROSS FAR against the BPDA land figure, which may not equal the zoning lot",derived,2026-08-31,probable,no
CODE,extract_projects.py prompt,'gross square feet of entire project',ask for the GSF of the building at THIS address; return null where the document describes more than one building,scraper/extract_projects.py:54,2026-08-31,confirmed,no
CODE,app read path,app reads total_gsf,"prefer bpda_gsf where present, fall back to total_gsf; corrects 45 rows at once and is reversible",app/data.py,2026-08-31,confirmed,no
168,residential_units,0,(null - cannot allocate),https://www.bostonplans.org/projects/development-projects/505-dorchester-avenue,2026-08-31,unresolved,yes
170,residential_units,0,(null - cannot allocate),https://www.bostonplans.org/projects/development-projects/65-ellery-street,2026-08-31,unresolved,yes
172,residential_units,0,(null - cannot allocate),https://www.bostonplans.org/projects/development-projects/75-ellery-street,2026-08-31,unresolved,yes
NOTE-1,residential_units allocation,0 on all three rows,"331 units total (237 market-rate + 94 senior) across the phase; NO BPDA page publishes a unit count, so the per-building split is not determinable without the Development Plan. Left null per instruction rather than distributed by guess.",http://www.bostonplans.org/projects/development-projects/505-dorchester-avenue,2026-08-31,unresolved,yes
372,status,Board Approved,Withdrawn - designation not renewed,https://www.baystatebanner.com,2019-10-17,confirmed,no
372,excluded,0,1,https://www.baystatebanner.com,2019-10-17,confirmed,no
372,excluded_reason,(null),"BPDA declined to renew P-3 Partners' tentative designation on 2019-10-31, citing lack of firm financing. Removes 1,746,908 GSF from pipeline totals.",https://www.baystatebanner.com,2019-10-17,confirmed,no
372,notes,designation expired January 2026,"CORRECTION: designation expired 2019-10-31, not January 2026. Bay State Banner 2019-10-17 quotes BPDA Director Brian Golden; Boston Globe 2019-10-18; Bay State Banner confirmed the withdrawal again in May 2020.",https://www.baystatebanner.com,2019-10-17,confirmed,no
246,status,Board Approved,Abandoned,https://www.universalhub.com,2026-03-30,confirmed,no
246,excluded,0,1,https://www.universalhub.com,2026-03-30,confirmed,no
246,excluded_reason,(null),"Three-building 700,000 SF lab/office plan abandoned in 2024 as the Boston life science market contracted. Harvard Crimson 2026-03-13; Universal Hub 2026-03-30. Removes 700,000 GSF from pipeline totals.",https://www.universalhub.com,2026-03-30,confirmed,no
246,developer,"1170 SFR Associates, LLC","National Development / Mount Vernon Company (JV; record entity 1170 SFR Associates, LLC)",https://www.universalhub.com,2026-03-30,confirmed,no
246,total_gsf,700000,"(no change - CONFLICT, do not update)",https://www.bostonplans.org/projects/development-projects/1170-soldiers-field-road,2026-08-31,unresolved,yes
363,status,Board Approved,Cancelled,https://www.bisnow.com,2019-08-01,confirmed,no
363,excluded,0,1,https://www.bisnow.com,2019-08-01,confirmed,no
363,excluded_reason,(null),"Weiner Ventures cancelled August 2019; MassDOT did not renew development rights. ~$83M spent in predevelopment. Bisnow 2019-08 and 2021-03; Banker & Tradesman 2024-01 on the Fish/Weiner settlement. Removes 689,000 GSF from pipeline totals.",https://www.bisnow.com,2019-08-01,confirmed,no
SCHEMA,status vocabulary,Under Construction covers both states,"add 'Permitted - Not Started'; permit_active must map to it, never to Under Construction. Add completion_basis 'construction_observed' as the only basis short of a CO that may set Under Construction.",app/data.py:290,2026-08-31,confirmed,no
385,status,Under Construction,Permitted - Not Started (pending vocabulary),https://www.bostonglobe.com,2025-01-10,confirmed,no
385,completion_stage,Under Construction,Permitted - Not Started (pending vocabulary),https://www.bostonglobe.com,2025-01-10,confirmed,no
385,total_gsf,625000,"(no change - 625,000 confirmed)",https://www.bostonglobe.com,2025-01-10,confirmed,no
358,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
126,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
225,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
390,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
106,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
111,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
165,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
329,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
350,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
307,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
299,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
114,completion_stage,Under Construction (basis=permit_active),review: permit issuance alone is not construction,https://data.boston.gov/dataset/approved-building-permits,2026-08-31,probable,no
SCHEMA,master_plan_total_gsf,(none),"add nullable INTEGER on projects; populate ONLY from the PDA/master plan document, never from press",schema,2026-08-31,confirmed,no
331,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
332,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
333,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
334,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
335,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
382,phase_group,(null),Suffolk Downs,internal - site grouping,2026-08-31,confirmed,no
275,phase_group,(null),Seaport Square,internal - site grouping,2026-08-31,confirmed,no
276,phase_group,(null),Seaport Square,internal - site grouping,2026-08-31,confirmed,no
369,phase_group,(null),Seaport Square,internal - site grouping,2026-08-31,confirmed,no
277,phase_group,(null),Seaport Square,internal - site grouping,2026-08-31,confirmed,no
345,phase_group,(null),Allston Yards,internal - site grouping,2026-08-31,confirmed,no
346,phase_group,(null),Allston Yards,internal - site grouping,2026-08-31,confirmed,no
235,phase_group,(null),Allston Yards,internal - site grouping,2026-08-31,confirmed,no
270,phase_group,(null),Allston Yards,internal - site grouping,2026-08-31,confirmed,no
267,phase_group,(null),776 Summer Street,internal - site grouping,2026-08-31,confirmed,no
115,phase_group,(null),776 Summer Street,internal - site grouping,2026-08-31,confirmed,no
NOTE-2,master_plan_total_gsf (Suffolk Downs Boston),(none),"REQUIRES PDA READ. Five Boston phases sum to 10,520,000; Beachmont Square (Revere, id 382) adds 1,700,000; HYM publishes 16.2M site-wide across both municipalities. Do not populate from press. If the PDA gives a different Boston-side figure, flag rather than adjust the phase rows.",BPDA PDA document,,unresolved,yes
392,out_of_scope,(column does not exist),"1 - Hudson MA, ~30 miles west; no Tier 1 source in the hierarchy covers it",internal,2026-08-31,confirmed,no
779,out_of_scope,(column does not exist),1 - Providence RI; belongs to the separate RI pipeline. Its own note concedes total_gsf is web-sourced (Tier 3).,internal,2026-08-31,confirmed,no
SCHEMA,out_of_scope,(none),"add nullable BOOLEAN, separate from `excluded`, so Boston/Cambridge totals can drop these rows without asserting the project is dead",schema,2026-08-31,confirmed,no
